wavenumber_cm-1,absorbance
2500.351,-0.0
2500.352,-0.0
2500.353,-0.0
2500.354,-0.0
2500.355,-0.0
2500.356,-0.0
2500.357,-0.0
2500.358,-0.0
2500.359,-0.0
2500.36,-0.0
2500.361,-0.0
2500.362,-0.0
2500.363,-0.0
2500.364,-0.0
2500.365,-0.0
2500.366,-0.0
2500.367,-0.0
2500.368,-0.0
2500.369,-0.0
2500.37,-0.0
2500.371,-0.0
2500.372,-0.0
2500.373,-0.0
2500.374,-0.0
2500.375,-0.0
2500.376,-0.0
2500.377,-0.0
2500.378,-0.0
2500.379,-0.0
2500.38,-0.0
2500.381,-0.0
2500.382,-0.0
2500.383,-0.0
2500.384,-0.0
2500.385,-0.0
2500.386,-0.0
2500.387,-0.0
2500.388,-0.0
2500.389,-0.0
2500.39,-0.0
2500.391,-0.0
2500.392,-0.0
2500.393,-0.0
2500.394,-0.0
2500.395,-0.0
2500.396,-0.0
2500.397,-0.0
2500.398,-0.0
2500.399,-0.0
2500.4,-0.0
2500.401,-0.0
2500.402,-0.0
2500.403,-0.0
2500.404,-0.0
2500.405,-0.0
2500.406,-0.0
2500.407,-0.0
2500.408,-0.0
2500.409,-0.0
2500.41,-0.0
2500.411,-0.0
2500.412,-0.0
2500.413,-0.0
2500.414,-0.0
2500.415,-0.0
2500.416,-0.0
2500.417,-0.0
2500.418,-0.0
2500.419,-0.0
2500.42,-0.0
2500.421,-0.0
2500.422,-0.0
2500.423,-0.0
2500.424,-0.0
2500.425,-0.0
2500.426,-0.0
2500.427,-0.0
2500.428,-0.0
2500.429,-0.0
2500.43,-0.0
2500.431,-0.0
2500.432,-0.0
2500.433,-0.0
2500.434,-0.0
2500.435,-0.0
2500.436,-0.0
2500.437,-0.0
2500.438,-0.0
2500.439,-0.0
2500.44,-0.0
2500.441,-0.0
2500.442,-0.0
2500.443,-0.0
2500.444,-0.0
2500.445,-0.0
2500.446,-0.0
2500.447,-0.0
2500.448,-0.0
2500.449,-0.0
2500.45,-0.0
2500.451,-0.0
2500.452,-0.0
2500.453,-0.0
2500.454,-0.0
2500.455,-0.0
2500.456,-0.0
2500.457,-0.0
2500.458,-0.0
2500.459,-0.0
2500.46,-0.0
2500.461,-0.0
2500.462,-0.0
2500.463,-0.0
2500.464,-0.0
2500.465,-0.0
2500.466,-0.0
2500.467,-0.0
2500.468,-0.0
2500.469,-0.0
2500.47,-0.0
2500.471,-0.0
2500.472,-0.0
2500.473,-0.0
2500.474,-0.0
2500.475,-0.0
2500.476,-0.0
2500.477,-0.0
2500.478,-0.0
2500.479,-0.0
2500.48,-0.0
2500.481,-0.0
2500.482,-0.0
2500.483,-0.0
2500.484,-0.0
2500.485,-0.0
2500.486,-0.0
2500.487,-0.0
2500.488,-0.0
2500.489,-0.0
2500.49,-0.0
2500.491,-0.0
